,age,gender,friends,basketball,football,soccer,softball,volleyball,swimming,cheerleading,baseball,tennis,sports_interest,physical_appearance_interest,shopping_interest,music_interest,religion_interest,social_behaviors_interest,mortality_interest
0,18.982,M,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,18.801,F,0,0,1,0,0,0,0,0,0,0,1,11,1,4,1,0,0
2,18.335,M,69,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1
3,18.875,F,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,18.995,F,10,0,0,0,0,0,0,0,0,0,0,1,2,4,1,9,0
5,19.149428645833336,F,142,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0
6,18.93,F,72,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
7,18.322,M,17,0,0,0,1,0,0,0,0,0,1,1,0,2,0,2,0
8,19.055,F,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,18.708,F,39,0,0,0,0,0,0,0,0,0,0,3,1,2,8,0,0
10,18.543,F,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,19.463,F,21,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,18.097,F,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
13,19.149428645833336,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,18.398,F,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0
15,19.149428645833336,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,19.149428645833336,F,135,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
17,18.987,F,26,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0
18,17.158,F,27,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0
19,18.497,F,123,0,0,0,0,0,0,1,0,0,1,0,5,1,2,0,0
20,18.738,F,35,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
21,19.296,M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,18.752,F,8,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
23,19.036,F,74,1,0,0,0,1,0,0,0,0,2,0,0,0,7,0,0
24,19.039,F,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0
25,19.02,M,33,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0
26,19.149428645833336,F,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,18.426,M,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,8,2
28,19.266,F,14,0,0,1,0,0,0,2,0,0,3,1,1,0,1,0,1
29,18.278,F,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0
30,18.793,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
31,18.524,F,61,3,3,0,0,2,0,0,0,0,9,0,3,1,1,0,0
32,18.683,F,41,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
33,19.072,M,43,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0
34,8.383,F,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
35,17.906,M,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,19.053,F,212,1,1,0,0,0,0,0,0,0,3,1,1,3,2,0,0
37,18.908,F,34,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
38,19.149428645833336,F,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
39,19.28,F,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,1
40,18.324,F,54,0,0,0,1,0,0,1,0,0,2,2,0,2,0,0,0
41,19.149428645833336,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,18.089,F,37,0,0,4,0,0,0,0,0,0,4,0,2,0,1,1,0
43,19.343,M,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
44,18.697,F,24,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
45,19.239,F,43,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1
46,18.355,F,0,0,0,0,0,0,0,0,3,0,3,4,1,2,4,1,0
47,18.787,F,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,4,0
48,18.894,F,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,19.149428645833336,M,35,1,3,0,0,0,0,0,0,0,4,0,0,2,0,0,0
50,18.809,F,44,0,0,0,0,0,0,0,0,1,1,1,3,2,1,0,0
51,18.576,M,26,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2
52,19.159,F,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0
53,19.526,F,8,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
54,18.782,M,26,0,0,1,0,0,1,0,0,0,2,0,4,2,0,2,0
55,18.935,F,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
56,18.374,F,37,1,0,0,0,0,0,0,0,0,1,0,0,9,3,0,0
57,18.924,M,5,0,0,0,0,0,0,0,1,0,1,8,4,1,4,9,1
58,19.053,M,11,0,3,0,0,0,0,0,0,0,3,0,2,0,0,1,0
59,18.976,F,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
60,18.984,F,12,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
61,18.85,M,38,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,18.71,F,5,0,0,0,0,0,0,0,0,0,1,5,2,3,2,10,0
63,18.207,M,57,0,0,0,0,0,0,0,5,0,5,0,0,1,0,0,0
64,18.018,F,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
65,19.107,F,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0
66,18.201,F,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0
67,18.565,F,35,0,0,3,0,0,0,0,0,0,3,0,0,3,0,4,1
68,19.149428645833336,F,0,0,0,0,0,0,0,0,0,0,0,5,2,4,1,1,0
69,18.856,M,11,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0
70,106.686,F,24,0,0,1,0,0,0,0,0,0,1,1,1,2,1,0,0
71,19.149428645833336,F,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,18.103,M,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,19.217,F,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0
74,19.149428645833336,F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
75,18.56,F,0,2,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0
76,18.335,F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
77,18.787,F,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,84.159,F,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
79,33.593,F,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,19.359,M,0,2,1,2,0,0,0,0,0,0,5,0,0,1,1,0,1
81,18.557,M,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,19.149428645833336,F,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,18.85,F,16,1,0,0,1,5,0,0,0,0,7,2,1,0,0,0,0
84,19.28,F,64,1,1,0,0,0,0,0,1,0,3,2,1,3,0,0,0
