age,education_level,marital_status,job_type,work_experience,hours_per_week,income,high_income
39,High School,Married,Healthcare,24.0,46,93.5,1
33,High School,Single,Management,13.0,33,96.19,1
41,Bachelor,Single,White Collar,15.0,28,68.83,0
50,Bachelor,Divorced,Healthcare,35.0,31,145.45,1
32,High School,Single,Management,15.0,39,68.34,0
32,Master,Single,Management,12.0,26,82.62,0
50,High School,Married,Management,38.0,32,92.3,1
42,Bachelor,Single,Management,27.0,35,120.48,1
30,Bachelor,Single,Tech,11.0,30,101.22,1
40,Master,Single,Management,23.0,25,133.36,1
30,Bachelor,Married,Tech,8.0,42,100.62,1
30,Master,Single,Tech,0.0,40,67.78,0
37,High School,Married,Management,18.0,45,124.09,1
18,Master,Divorced,White Collar,4.0,32,85.1,1
18,High School,Single,Management,0.0,45,66.49,0
29,Master,Single,Management,18.0,50,102.06,1
24,Bachelor,Single,Management,12.0,41,107.06,1
38,Master,Single,White Collar,22.0,35,82.34,0
25,Bachelor,Single,Blue Collar,8.0,41,73.4,0
20,Bachelor,Divorced,Blue Collar,5.0,35,13.41,0
49,Bachelor,Married,Tech,31.0,34,135.94,1
32,Bachelor,Married,Tech,12.0,44,77.01,0
35,High School,Single,White Collar,11.0,39,68.34,0
20,High School,Married,Healthcare,1.0,48,105.75,1
29,High School,Divorced,Blue Collar,13.0,36,68.25,0
36,High School,Married,Tech,12.0,37,108.29,1
23,Master,Single,Blue Collar,9.0,36,97.82,1
38,High School,Married,White Collar,28.0,32,69.11,0
28,PhD,Single,White Collar,,45,110.17,1
32,High School,Single,Healthcare,8.0,55,57.3,0
28,High School,Single,Healthcare,13.0,37,77.86,0
53,Bachelor,Married,White Collar,36.0,35,137.05,1
34,Bachelor,Married,Tech,20.0,34,97.7,1
24,Bachelor,Single,Blue Collar,4.0,35,18.24,0
43,Bachelor,Single,Management,16.0,51,138.67,1
22,Bachelor,Single,Healthcare,0.0,34,101.85,1
37,,Single,Management,13.0,35,90.09,1
18,PhD,Single,Tech,0.0,31,88.79,1
21,PhD,Single,Healthcare,3.0,42,130.48,1
36,Bachelor,Married,,12.0,39,94.35,1
42,High School,Single,Tech,20.0,32,76.77,1
36,Bachelor,Single,Blue Collar,10.0,33,62.6,0
33,High School,Single,Tech,17.0,50,60.19,0
31,High School,Divorced,Healthcare,21.0,40,94.47,1
20,High School,Married,White Collar,0.0,40,65.48,0
27,Bachelor,Married,Blue Collar,7.0,40,45.86,0
30,Master,Single,Management,13.0,49,142.95,1
45,Bachelor,Married,Healthcare,28.0,32,98.68,1
38,Bachelor,Single,White Collar,,37,69.4,0
18,High School,Married,Tech,3.0,38,54.67,0
